,_url,birth_year,height,avg_pos,num_races
416,johnny-hoogerland,1983,179.0,54.03757225433526,346
417,endrio-leoni,1968,175.0,83.76530612244898,196
418,alexander-kristoff,1987,183.0,82.0,295
419,bram-tankink,1978,181.0,99.14102564102564,78
421,roberto-laiseka-jaio,1969,184.0,80.05172413793103,116
422,stefan-denifl,1987,179.0,93.96774193548389,62
424,alessandro-cortinovis,1977,182.0,69.74454828660436,321
425,karel-vacek,2000,178.0,81.35483870967742,31
426,marc-sarreau,1993,182.0,79.86244541484716,458
427,oscar-rodriguez,1995,179.0,83.4505928853755,253
428,heinz-imboden,1962,178.0,38.9954954954955,444
429,franck-pencole,1976,184.0,85.1082474226804,194
430,alexander-efimkin,1981,182.0,66.25475285171103,526
431,robbe-ghys,1997,182.0,83.88477366255144,486
433,lucas-eriksson,1996,180.0,47.21016949152543,590
434,jacky-durand,1967,186.0,87.24663677130044,223
435,gianni-vermeersch,1992,173.0,67.74396135265701,207
436,remy-di-gregorio,1985,180.0,75.48283261802575,466
437,jan-schaffrath,1971,187.0,77.8218954248366,612
440,johannes-frohlinger,1985,173.0,95.38071065989848,197
441,vicente-reynes,1981,175.0,67.56603773584905,53
445,nico-mattan,1971,181.0,45.04297994269341,349
446,pieter-vanspeybrouck,1987,186.0,89.61813186813187,364
448,david-lozano,1988,178.0,101.48387096774194,186
449,leon-van-bon,1972,176.0,103.8840579710145,69
451,stepan-kurianov,1996,183.0,106.51129943502823,354
452,vladimir-gusev,1982,176.0,114.47826086956522,23
457,maxim-van-gils,1999,174.0,104.7731343283582,335
458,alexander-krieger,1991,184.0,106.63054187192118,203
459,luca-pacioni,1993,175.0,69.61919504643963,323
461,simon-pellaud,1992,180.0,77.2525,400
462,ilnur-zakarin,1989,187.0,114.2608695652174,184
466,lorenzo-germani,2002,180.0,102.44314868804663,343
469,remi-cusin,1986,178.0,36.25136612021858,183
470,jesus-maria-manzano,1978,179.0,48.34931506849315,146
471,lars-ytting-bak,1980,190.0,40.54022988505747,87
473,mauro-schmid,1999,187.0,38.38509316770186,161
474,alexander-gontsjenkov,1970,183.0,45.51977401129943,177
478,aritz-bagues,1989,174.0,41.4,25
480,rui-carvalho,1995,175.0,65.04347826086956,23
481,emanuel-duarte,1997,182.0,56.98571428571429,70
482,christophe-moreau,1971,186.0,66.91111111111111,45
483,julian-usano-martinez,1976,178.0,51.38461538461539,52
484,kenny-elissonde,1991,169.0,49.25,180
485,alexis-gougeard,1993,176.0,39.02941176470589,102
487,martin-svrcek,2003,175.0,48.15129151291513,271
488,luca-mazzanti,1974,170.0,52.90445859872612,157
489,federico-zurlo,1994,178.0,44.62068965517241,203
493,rafael-silva,1990,178.0,59.018957345971565,211
494,tim-wellens,1991,182.0,52.82142857142857,28
495,lars-kristian-johnsen,1970,185.0,36.60416666666666,48
498,jakob-egholm,1998,186.0,52.72222222222222,18
499,ludo-dierckxsens,1964,181.0,41.17431192660551,109
500,luis-fernandes,1987,173.0,66.79503105590062,161
501,joaquim-adrego-pereira-andrade,1969,175.0,62.58974358974359,78
502,christophe-brandt,1977,182.0,73.94444444444444,18
504,przemyslaw-kasperkiewicz,1994,182.0,74.47826086956522,23
505,gabriele-balducci,1975,181.0,84.1470588235294,68
506,ricardo-mestre,1983,170.0,39.34285714285714,35
507,cyril-bessy,1986,176.0,58.0990990990991,333
508,floris-de-tier,1992,172.0,51.68589743589744,312
511,cristiano-salerno,1985,182.0,79.95566502463055,203
512,raimondas-rumsas-1,1972,175.0,61.42448979591837,245
513,fabrice-gougot,1971,181.0,38.20588235294117,68
514,jakub-otruba,1998,190.0,72.90391459074733,281
515,andris-reiss,1978,185.0,75.48283261802575,466
516,milan-fretin,2001,182.0,60.79365079365079,315
517,pierre-barbier,1997,176.0,69.42897727272727,352
518,peter-farazijn,1969,180.0,63.654296875,512
520,kristoffer-halvorsen,1996,179.0,65.8740157480315,635
521,jesper-hansen-1,1990,172.0,110.84210526315788,76
522,francisco-morais,1998,178.0,71.59392789373814,527
523,alexandr-pliuschin,1987,180.0,75.39413680781759,307
524,steve-houanard,1986,183.0,66.25475285171103,526
525,claus-michael-moller,1968,182.0,80.76294277929155,367
526,jose-luis-roldan,1985,175.0,95.34177215189874,79
527,alessandro-bertolini,1971,171.0,69.96103896103897,231
528,adrie-van-der-poel,1959,181.0,61.71848739495798,238
529,davide-orrico,1990,180.6,66.72307692307692,455
531,romain-zingle,1987,175.0,107.57142857142856,7
532,hernani-broco,1981,178.0,95.26666666666668,30
533,alejandro-franco-gonzalez,2001,175.0,51.48022598870057,354
