_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
rein-taaramae,Rein  Taaramäe,1987,186.0,Estonia,66.79503105590062,161,19.65545149728292,Europe
sebastien-chavanel,Sébastien  Chavanel,1981,183.0,France,71.94818652849742,386,22.99262444384723,Europe
andrei-nechita,Andrei  Nechita,1988,183.0,Romania,78.36123348017621,227,21.20099137030069,Europe
tadej-pogacar,Tadej  Pogačar,1998,176.0,Slovenia,64.1219512195122,451,21.306818181818183,Europe
enrico-barbin,Enrico  Barbin,1990,166.0,Italy,49.84126984126984,567,21.773842357381334,Europe
mario-de-sarraga,Mario de Sárraga,1980,178.8,Spain,44.64009111617312,439,21.583111871837602,Europe
kevin-seeldraeyers,Kevin  Seeldraeyers,1986,174.0,Belgium,65.94299674267101,614,19.817677368212443,Europe
daniele-righi,Daniele  Righi,1976,180.0,Italy,50.44976076555024,627,21.604938271604937,Europe
felix-gall,Felix  Gall,1998,180.0,Austria,68.83286908077994,359,20.37037037037037,Europe
jordi-meeus,Jordi  Meeus,1998,190.0,Belgium,33.61818181818182,660,22.1606648199446,Europe
andre-carvalho,Andre  Carvalho,1997,181.0,Portugal,25.998355263157894,608,20.1459051921492,Europe
joseba-lopez-cuesta,Joseba  López,2000,182.0,Spain,61.71848739495798,238,19.925129815239703,Europe
emils-liepins,Emīls  Liepiņš,1992,175.0,Latvia,49.188081936685286,537,21.877551020408163,Europe
vladimir-karpets,Vladimir  Karpets,1980,190.0,Russia,59.59101123595506,445,21.883656509695292,Europe
tom-wirtgen,Tom  Wirtgen,1996,190.0,Luxembourg,74.97053726169844,577,21.329639889196677,Europe
eric-berthou,Eric  Berthou,1980,187.0,France,79.45806451612903,155,20.58966513197403,Europe
benoit-joachim,Benoît  Joachim,1976,188.0,Luxembourg,77.6890243902439,328,23.20054323223178,Europe
florian-guillou,Florian  Guillou,1982,195.0,France,80.51386623164764,613,18.671926364234057,Europe
andre-dierickx,André  Dierickx,1947,180.0,Belgium,69.42897727272727,352,22.839506172839506,Europe
stef-clement,Stef  Clement,1982,181.0,Netherlands,73.86348122866895,293,20.1459051921492,Europe
gosta-pettersson,Gösta  Pettersson,1940,189.0,Sweden,77.2525,400,20.99605274208449,Europe
koen-beeckman,Koen  Beeckman,1973,177.0,Belgium,73.73885350318471,314,21.06674327300584,Europe
daniel-musiol,Daniel  Musiol,1983,182.0,Germany,77.62921348314607,178,21.132713440405748,Europe
michel-lafis,Michel  Lafis,1967,185.0,Sweden,82.83263009845288,711,22.79035792549306,Europe
hugo-page,Hugo  Page,2001,185.0,France,85.54166666666667,432,20.74506939371804,Europe
axel-mariault,Axel  Mariault,1998,169.0,France,66.94954128440367,436,20.307412205454995,Europe
maciej-bodnar,Maciej  Bodnar,1985,186.0,Poland,70.34262948207171,251,22.25690831309978,Europe
laurens-de-vreese,Laurens De Vreese,1988,190.0,Belgium,73.72321428571429,224,21.606648199445985,Europe
marco-brenner,Marco  Brenner,2002,181.0,Germany,49.69427710843374,664,18.009218277830346,Europe
tony-martin,Tony  Martin,1985,185.0,Germany,65.06666666666666,255,21.913805697589478,Europe
