_url,stage,race,date,points,length,profile,startlist_quality,year,season,avg_delta_by_url,avg_age_by_url
dauphine/1989/prologue,prologue,dauphine,1989-05-29,50,5000,,603,1989,Spring,26.07547169811321,27.28301886792453
dauphine/1989/stage-1,stage-1,dauphine,1989-05-30,50,186000,,603,1989,Spring,26.07547169811321,27.28301886792453
dauphine/1989/stage-2,stage-2,dauphine,1989-05-31,50,186000,,603,1989,Spring,26.07547169811321,27.28301886792453
dauphine/1989/stage-3,stage-3,dauphine,1989-06-01,50,183500,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-4,stage-4,dauphine,1989-06-02,50,155700,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-5,stage-5,dauphine,1989-06-03,50,230000,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-6a,stage-6a,dauphine,1989-06-04,50,84500,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-6b,stage-6b,dauphine,1989-06-04,50,30000,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-7,stage-7,dauphine,1989-06-05,50,163000,,603,1989,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-1,stage-1,dauphine,1990-05-30,50,139000,,637,1990,Spring,1508.7878787878788,28.703030303030303
dauphine/1990/stage-2,stage-2,dauphine,1990-05-31,50,183900,,637,1990,Spring,1508.7878787878788,28.703030303030303
dauphine/1990/stage-3,stage-3,dauphine,1990-06-01,50,171000,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-4,stage-4,dauphine,1990-06-02,50,183000,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-5,stage-5,dauphine,1990-06-03,50,196000,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-6,stage-6,dauphine,1990-06-04,50,209000,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-7,stage-7,dauphine,1990-06-05,50,177500,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-8,stage-8,dauphine,1990-06-06,50,37800,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/prologue,prologue,dauphine,1991-06-03,50,10000,,830,1991,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/stage-1,stage-1,dauphine,1991-06-04,50,153000,,830,1991,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/stage-2,stage-2,dauphine,1991-06-05,50,222000,,830,1991,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/stage-3,stage-3,dauphine,1991-06-03,50,184000,,830,1991,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/stage-4,stage-4,dauphine,1991-06-07,50,186500,,830,1991,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/stage-5,stage-5,dauphine,1991-06-08,50,155000,,830,1991,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/stage-6,stage-6,dauphine,1991-06-09,50,158000,,830,1991,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/stage-7,stage-7,dauphine,1991-06-10,50,33000,,830,1991,Summer,1508.7878787878788,28.703030303030303
dauphine/1992/stage-1,stage-1,dauphine,1992-06-01,50,147800,,492,1992,Summer,1508.7878787878788,28.703030303030303
dauphine/1992/stage-2,stage-2,dauphine,1992-06-02,50,206000,,492,1992,Summer,1508.7878787878788,28.703030303030303
dauphine/1992/stage-3,stage-3,dauphine,1992-06-03,50,176000,,492,1992,Summer,1508.7878787878788,28.703030303030303
dauphine/1992/stage-4,stage-4,dauphine,1992-06-04,50,164000,,492,1992,Summer,1508.7878787878788,28.703030303030303
dauphine/1992/stage-5,stage-5,dauphine,1992-06-05,50,190000,,492,1992,Summer,1508.7878787878788,28.703030303030303
dauphine/1992/stage-6,stage-6,dauphine,1992-06-06,50,204000,,492,1992,Summer,1508.7878787878788,28.703030303030303
dauphine/1992/stage-7,stage-7,dauphine,1992-06-07,50,177000,,492,1992,Summer,1508.7878787878788,28.703030303030303
dauphine/1992/stage-8,stage-8,dauphine,1992-06-08,50,32500,,492,1992,Summer,1508.7878787878788,28.703030303030303
dauphine/1993/prologue,prologue,dauphine,1993-05-31,50,4000,,386,1993,Spring,1508.7878787878788,28.703030303030303
dauphine/1993/stage-1,stage-1,dauphine,1993-06-01,50,188000,,386,1993,Summer,1508.7878787878788,28.703030303030303
dauphine/1993/stage-2,stage-2,dauphine,1993-06-02,50,162000,,386,1993,Summer,1508.7878787878788,28.703030303030303
dauphine/1993/stage-3,stage-3,dauphine,1993-06-03,50,43000,,386,1993,Summer,1508.7878787878788,28.703030303030303
dauphine/1993/stage-5,stage-5,dauphine,1993-06-05,50,192000,,386,1993,Summer,1508.7878787878788,28.703030303030303
dauphine/1993/stage-6,stage-6,dauphine,1993-06-06,50,200000,,386,1993,Summer,1508.7878787878788,28.703030303030303
dauphine/1993/stage-7,stage-7,dauphine,1993-06-07,50,140000,,386,1993,Summer,1508.7878787878788,28.703030303030303
dauphine/1994/prologue,prologue,dauphine,1994-05-30,50,6700,,362,1994,Spring,1508.7878787878788,28.703030303030303
dauphine/1994/stage-1,stage-1,dauphine,1994-05-31,50,224000,,362,1994,Spring,1508.7878787878788,28.703030303030303
dauphine/1994/stage-2,stage-2,dauphine,1994-06-01,50,208000,,362,1994,Summer,1508.7878787878788,28.703030303030303
dauphine/1994/stage-3,stage-3,dauphine,1994-06-02,50,38000,,362,1994,Summer,1508.7878787878788,28.703030303030303
dauphine/1994/stage-4,stage-4,dauphine,1994-06-03,50,196000,,362,1994,Summer,1508.7878787878788,28.703030303030303
dauphine/1994/stage-5,stage-5,dauphine,1994-06-04,50,173000,,362,1994,Summer,1508.7878787878788,28.703030303030303
dauphine/1994/stage-6,stage-6,dauphine,1994-06-05,50,203000,,362,1994,Summer,1508.7878787878788,28.703030303030303
dauphine/1994/stage-7,stage-7,dauphine,1994-06-06,50,157000,,362,1994,Summer,1508.7878787878788,28.703030303030303
dauphine/1995/prologue,prologue,dauphine,1995-06-04,50,6700,,479,1995,Summer,1508.7878787878788,28.703030303030303
