_url,stage,race,date,points,length,climb_total,profile,startlist_quality,year
dauphine/2005/stage-1,stage-1,dauphine,2005-06-06,50,224000,,,933,2005
dauphine/2005/stage-2,stage-2,dauphine,2005-06-07,50,187000,,,933,2005
dauphine/2005/stage-3,stage-3,dauphine,2005-06-08,50,46500,,,933,2005
dauphine/2005/stage-4,stage-4,dauphine,2005-06-09,50,182000,,,933,2005
dauphine/2005/stage-5,stage-5,dauphine,2005-06-10,50,219000,,,933,2005
dauphine/2005/stage-6,stage-6,dauphine,2005-06-11,50,155000,,,933,2005
dauphine/2005/stage-7,stage-7,dauphine,2005-06-12,30,128000,,,933,2005
dauphine/2006/prologue,prologue,dauphine,2006-06-04,18,4100,,,800,2006
dauphine/2006/stage-1,stage-1,dauphine,2006-06-05,50,207000,,,800,2006
dauphine/2006/stage-2,stage-2,dauphine,2006-06-06,50,203000,,,800,2006
dauphine/2006/stage-3,stage-3,dauphine,2006-06-07,30,43000,,,800,2006
dauphine/2006/stage-4,stage-4,dauphine,2006-06-08,50,186000,,,800,2006
dauphine/2006/stage-5,stage-5,dauphine,2006-06-09,50,155000,,,800,2006
dauphine/2006/stage-6,stage-6,dauphine,2006-06-10,50,169000,,,800,2006
dauphine/2006/stage-7,stage-7,dauphine,2006-06-11,50,131000,,,800,2006
dauphine/2007/prologue,prologue,dauphine,2007-06-10,50,4200,,,816,2007
dauphine/2007/stage-1,stage-1,dauphine,2007-06-11,50,219000,,,816,2007
dauphine/2007/stage-2,stage-2,dauphine,2007-06-12,50,157000,,,816,2007
dauphine/2007/stage-3,stage-3,dauphine,2007-06-13,50,40700,,,816,2007
dauphine/2007/stage-4,stage-4,dauphine,2007-06-14,50,197000,,,816,2007
dauphine/2007/stage-5,stage-5,dauphine,2007-06-15,50,195000,,,816,2007
dauphine/2007/stage-6,stage-6,dauphine,2007-06-16,50,198000,,,816,2007
dauphine/2007/stage-7,stage-7,dauphine,2007-06-17,50,129000,,,816,2007
dauphine/2008/prologue,prologue,dauphine,2008-06-08,50,5600,,,644,2008
dauphine/2008/stage-2,stage-2,dauphine,2008-06-09,50,194000,,,644,2008
dauphine/2008/stage-3,stage-3,dauphine,2008-06-10,50,184000,,,644,2008
dauphine/2008/stage-4,stage-4,dauphine,2008-06-11,50,31000,,,644,2008
dauphine/2008/stage-5,stage-5,dauphine,2008-06-12,50,193000,,,644,2008
dauphine/2008/stage-6,stage-6,dauphine,2008-06-13,50,125000,,,644,2008
dauphine/2008/stage-7,stage-7,dauphine,2008-06-14,50,233000,,,644,2008
dauphine/2008/stage-8,stage-8,dauphine,2008-06-15,50,128000,,,644,2008
dauphine/2009/stage-1,stage-1,dauphine,2009-06-07,50,12100,,,708,2009
dauphine/2009/stage-2,stage-2,dauphine,2009-06-08,50,228000,,,708,2009
dauphine/2009/stage-3,stage-3,dauphine,2009-06-09,50,182000,,,708,2009
dauphine/2009/stage-4,stage-4,dauphine,2009-06-10,50,42400,,,708,2009
dauphine/2009/stage-5,stage-5,dauphine,2009-06-11,50,154000,,,708,2009
dauphine/2009/stage-6,stage-6,dauphine,2009-06-12,50,106000,,,708,2009
dauphine/2009/stage-7,stage-7,dauphine,2009-06-13,50,157000,,,708,2009
dauphine/2009/stage-8,stage-8,dauphine,2009-06-14,50,146000,,,708,2009
dauphine/2010/prologue,prologue,dauphine,2010-06-06,50,6800,,2,673,2010
dauphine/2010/stage-2,stage-2,dauphine,2010-06-07,50,191500,,,673,2010
dauphine/2010/stage-3,stage-3,dauphine,2010-06-08,50,177000,,,673,2010
