_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
daniel-musiol,Daniel  Musiol,1983.0,182.0,Germany,77.62921348314607,178,21.132713440405748,Europe
michel-lafis,Michel  Lafis,1967.0,185.0,Sweden,82.83263009845288,711,22.79035792549306,Europe
hugo-page,Hugo  Page,2001.0,185.0,France,85.54166666666667,432,20.74506939371804,Europe
axel-mariault,Axel  Mariault,1998.0,169.0,France,66.94954128440367,436,20.307412205454995,Europe
maurizio-vandelli,Maurizio  Vandelli,1964.0,,Italy,75.3265306122449,392,,Europe
maciej-bodnar,Maciej  Bodnar,1985.0,186.0,Poland,70.34262948207171,251,22.25690831309978,Europe
yecid-sierra,Yecid Arturo  Sierra,1994.0,184.0,Colombia,94.27722772277228,101,19.494328922495274,South America
edgar-humberto-ruiz,Edgar-humberto  Ruiz,1971.0,,Colombia,61.98015873015873,504,,South America
laurens-de-vreese,Laurens De Vreese,1988.0,190.0,Belgium,73.72321428571429,224,21.606648199445985,Europe
harald-maier,Harald  Maier,1960.0,,Austria,77.1010752688172,465,,Europe
marco-brenner,Marco  Brenner,2002.0,181.0,Germany,49.69427710843374,664,18.009218277830346,Europe
tony-martin,Tony  Martin,1985.0,185.0,Germany,65.06666666666666,255,21.913805697589478,Europe
jakub-kaczmarek,Jakub  Kaczmarek,1993.0,181.0,Poland,78.36666666666666,570,20.1459051921492,Europe
filippo-zana,Filippo  Zana,1999.0,185.0,Italy,53.165739710789765,899,18.991964937910883,Europe
miguel-angel-pena,Miguel Ángel  Peña,1970.0,,Spain,78.89353612167301,526,,Europe
robert-alban,Robert  Alban,1952.0,,France,57.40501043841336,479,,Europe
matteo-bono,Matteo  Bono,1983.0,171.0,Italy,93.12760416666667,384,20.519134092541297,Europe
antonio-coll,Antonio  Coll,1959.0,,Spain,83.58457711442786,402,,Europe
manuel-mesa,José Manuel  Mesa,1944.0,,Spain,106.67630057803468,173,,Europe
igor-anton,Igor  Antón,1983.0,173.0,Spain,74.18139534883721,215,21.383941996057334,Europe
raymond-kreder,Raymond  Kreder,1989.0,177.0,Netherlands,71.55592105263158,304,22.34351559258195,Europe
pierre-gautherat,Pierre  Gautherat,2003.0,177.0,France,74.6025,400,22.34351559258195,Europe
cees-jeurissen,Cees  Jeurissen,1976.0,,Netherlands,51.48022598870057,354,,Europe
anthony-roux,Anthony  Roux,1987.0,188.0,France,76.21611721611721,273,20.654142145767317,Europe
willy-in-t-ven,Willy In 't Ven,1943.0,,Belgium,84.42857142857143,217,,Europe
dmitry-nelyubin,Dmitry  Nelyubin,1971.0,,Russia,76.91082802547771,157,,Europe
sebastian-schonberger,Sebastian  Schönberger,1994.0,181.0,Austria,64.7704081632653,196,19.53542321662953,Europe
ennio-salvador,Ennio  Salvador,1960.0,,Italy,71.25,304,,Europe
pierrick-fedrigo,Pierrick  Fédrigo,1978.0,172.0,France,67.29152542372881,295,22.30935640886966,Europe
valerio-tebaldi,Valerio  Tebaldi,1965.0,,Italy,78.75428571428571,350,,Europe
marlon-alirio-perez-arango,Marlon Alirio  Pérez,1976.0,175.0,Colombia,97.84918032786885,305,22.20408163265306,South America
giampaolo-cheula,Giampaolo  Cheula,1979.0,178.0,Italy,92.90151515151516,264,19.568236333796236,Europe
angel-madrazo,Ángel  Madrazo,1988.0,171.0,Spain,85.1082474226804,194,20.86111966075032,Europe
antonio-tiberi,Antonio  Tiberi,2001.0,182.0,Italy,91.41776937618147,529,18.717546190073662,Europe
vincent-lavenu,Vincent  Lavenu,1956.0,,France,81.99804305283757,511,,Europe
jacky-coene,Jacky  Coene,1946.0,,Belgium,80.44258373205741,418,,Europe
gorazd-stangelj,Gorazd  Štangelj,1973.0,182.0,Slovenia,79.68947368421053,570,21.132713440405748,Europe
theo-verschueren,Théo  Verschueren,1943.0,,Belgium,65.54232804232804,378,,Europe
arvis-piziks,Arvis  Piziks,1969.0,176.0,Latvia,86.60022650056625,883,22.59814049586777,Europe
markus-eichler,Markus  Eichler,1982.0,185.0,Germany,66.15849056603774,530,22.79035792549306,Europe
torsten-hiekmann,Torsten  Hiekmann,1980.0,183.0,Germany,80.81171548117155,239,20.902385858042937,Europe
jelle-vanendert,Jelle  Vanendert,1985.0,184.0,Belgium,92.41980198019802,505,18.312854442344044,Europe
sven-vandousselaere,Sven  Vandousselaere,1988.0,181.0,Belgium,83.89242053789731,409,21.672110130948383,Europe
jean-pierre-berckmans,Jean-Pierre  Berckmans,1948.0,,Belgium,95.73880597014926,268,,Europe
pierino-primavera,Pierino  Primavera,1945.0,,Italy,96.26666666666667,225,,Europe
cristian-zanolini,Cristian  Zanolini,1968.0,,Italy,79.72865853658537,328,,Europe
maurizio-fondriest,Maurizio  Fondriest,1965.0,182.0,Italy,115.9627659574468,188,21.132713440405748,Europe
iban-sastre-estevez,Iban  Sastre,1977.0,,Spain,69.0937019969278,651,,Europe
fausto-dotti,Fausto  Dotti,1968.0,,Italy,64.33836858006042,331,,Europe
fabio-sacchi,Fabio  Sacchi,1974.0,183.0,Italy,77.8218954248366,612,20.305174833527424,Europe
pascal-eenkhoorn,Pascal  Eenkhoorn,1997.0,185.0,Netherlands,94.12926391382406,557,20.45288531775018,Europe
jean-zen,Jean  Zen,1981.0,,France,108.55015197568389,329,,Europe
john-van-asten,John Van Asten,1960.0,,Netherlands,83.74789915966386,119,,Europe
stefan-schumacher,Stefan  Schumacher,1981.0,183.0,Germany,77.88739946380697,373,21.20099137030069,Europe
mauro-simonetti,Mauro  Simonetti,1948.0,,Italy,98.98770491803279,244,,Europe
chris-wherry,Chris  Wherry,1973.0,,United States,79.8313953488372,344,,North America
eladio-ambite,Eladio  Ambite,1970.0,,Spain,97.78030303030303,132,,Europe
daniele-pietropolli,Daniele  Pietropolli,1980.0,174.0,Italy,84.60992907801419,282,20.147971991015986,Europe
christian-meier,Christian  Meier,1985.0,172.0,Canada,118.22448979591837,49,20.61925365062196,North America
davis-phinney,Davis  Phinney,1959.0,,United States,112.86516853932584,89,,North America
stefano-della-santa,Stefano Della Santa,1967.0,,Italy,83.65848670756647,489,,Europe
dietrich-thurau,Dietrich  Thurau,1954.0,,Germany,112.10437710437711,297,,Europe
arnaud-gerard,Arnaud  Gérard,1984.0,184.0,France,95.56976744186046,172,20.6758034026465,Europe
christophe-lavainne,Christophe  Lavainne,1963.0,,France,82.05952380952381,168,,Europe
gonzalo-rabunal-rios,Gonzalo  Rabuñal,1984.0,180.0,Spain,93.57839721254355,287,20.061728395061728,Europe
thomas-bonnet,Thomas  Bonnet,1998.0,175.0,France,82.72911392405064,395,21.355102040816327,Europe
jean-jacques-philipp,Jean-Jacques  Philipp,1961.0,,France,95.02288984263234,699,,Europe
nico-verhoeven,Nico  Verhoeven,1961.0,,Netherlands,95.3076923076923,156,,Europe
